	Jedek1	Jedek3	Jedek2	Jedek13	Jedek6	Jedek5	Jedek37	Jedek27	Jedek29	Jedek17	Jedek35	Jedek14	Jedek30	Jedek21	Jedek32	Jedek25	Jedek20	Jedek16	Jedek26	Jedek28	Jedek36	Jedek23	Jahai18	Jahai7	Jahai8	Jahai5	Jahai10	Jahai2	Jahai1	Jahai15	Jahai12	Jahai13	Jahai11	Jahai9	Jahai17	Jahai6	Jahai3	Jahai16
1	lɛŋ	lɛŋ	ʔatɛs	ʔatɛs	ʔatɛs	ʔatɛs	k=ʔatɛs	klɛŋ	ʔatɛs	ʔatɛs	ʔatɛs	lɛŋ	lɛŋ	klɛŋ ʔatɛs	ʔatɛs	ʔatɛs	ʔatɛs	ʔatɛs	ʔatɛs	lɛŋ	klɛŋ	lɛŋ	klɛŋ	krpiŋ	klɛŋ	krpiŋ	klɛŋ	ʔatɛs	ʔatɛs	ʔatɛs	ʔatɛs	ʔatɛs	ʔatɛs	ʔatɛs	klɛŋ	k=ʔatɛs	lɛŋ	ʔatɛs
2	daləm	lɛŋ	lɛŋ	daləm	daləm	daləm	daləm	klɛŋ	daləm	klɛŋ	daləm	lɛŋ	lɛŋ	klɛŋ	daləm	lɛŋ	daləm	daləm	klɛŋ	lɛŋ	daləm	daləm	klɛŋ	klɛŋ	lɛŋ	klɛŋ	klɛŋ	daləm	lɛŋ	k=daləm	daləm	klɛŋ	daləm	klɛŋ	klɛŋ	lɛŋ	lɛŋ	daləm
3	lɛŋ	klɛŋ	ʔatɛs	lɛŋ	k=ʔatɛs	lɛŋ	?	klɛŋ	klɛŋ	klɛŋ	daləm	?	?	lɛŋ	ʔatɛs	?	?	ʔatɛs	?	ʔatɛs	?	da=	lɛŋ	klɛŋ	lɛŋ	klɛŋ	klɛŋ	ʔatɛs	lɛŋ	k=	?	ʔatɛs	klɛŋ	?	daləm	k=ʔatɛs	k=ʔatɛs	daləm
4	lɛŋ	klɛŋ	lɛŋ	klɛŋ	lɛŋ	lɛŋ	klɛŋ tŋah	klɛŋ	klɛŋ samaʔ tŋah	klɛŋ	?	lɛŋ	?	klɛŋ	k=tŋah	klɛŋ tŋah tŋah	?	klɛŋ	klɛŋ	lɛŋ	?	lɛŋ	klɛŋ	klɛŋ	klɛŋ	?	klɛŋ	lɛŋ	lɛŋ	k=	samaʔ pdeʔ	klɛŋ	klɛŋ	lɛŋ	?	klɛŋ	lɛŋ	lɛŋ
5	lɛŋ	klɛŋ	ʔatɛs	lɛŋ	lɛŋ	lɛŋ	lɛŋ	klɛŋ	ʔatɛs	klɛŋ	klɛŋ	lɛŋ	lɛŋ	klɛŋ	klɛŋ	?	ʔatɛs	lɛŋ	lɛŋ	lɛŋ	klɛŋ	lɛŋ	klɛŋ	klɛŋ	lɛŋ	klɛŋ	k=	ʔatɛs	lɛŋ	klɛŋ	daləm	klɛŋ	klɛŋ	lɛŋ	klɛŋ	k=ʔatɛs	lɛŋ	lɛŋ
6	lɛŋ	pndəh	?	clah	clah	lɔʔ	klɛŋ	klɛŋ	clah	klɛŋ	?	ʔndaŋ	lɛŋ	klɛŋ	clah	da=	clah	lɛŋ	klɛŋ	clah	da=ʔndaŋ	lɛŋ	daləm	clah	clah	klɛŋ	klɛŋ	lɛŋ clah	lɛŋ	clah	luwa	klɛŋ	klɛŋ	klɛŋ	lɔʔ	lɛŋ	lɛŋ	lɛŋ
7	lɛŋ	k=ʔatɛs	ʔatɛs	lɛŋ	ʔatɛs	ʔatɛs	klɛŋ	klɛŋ	lɛŋ	ʔatɛs	?	ʔatɛs	lɛŋ	klɛŋ	clah	ʔatɛs	lɛŋ	?	ʔatɛs	lɛŋ	ʔatɛs	ʔatɛs	lɛŋ	ʔatɛs	lɛŋ	lɛŋ	krpiŋ	ʔatɛs	lɛŋ	clah	ʔatɛs	klɛŋ	klɛŋ	ʔatɛs	klɛŋ	k=ʔatɛs	?	lɛŋ
8	lɛŋ	k=ʔatɛs	ʔatɛs	ʔatɛs	ʔatɛs	ʔatɛs	klɛŋ	klɛŋ	ʔatɛs	ʔatɛs	k=ʔatɛs	klɛŋ	lɛŋ	klɛŋ	ʔatɛs	ʔatɛs	ʔatɛs	ʔatɛs	ʔatɛs	?	?	lɛŋ	klɛŋ	krpiŋ	lɛŋ	klɛŋ	krpiŋ	ʔatɛs	ʔatɛs	clah	ʔatɛs	klɛŋ	clah	lɛŋ	ʔatɛs	k=ʔatɛs	ʔatɛs	lɛŋ ʔatɛs
9	lɛŋ	ʔatɛs	lɛŋ	lɛŋ	lɛŋ	ʔatɛs	klɛŋ	klɛŋ	lɛŋ	klɛŋ	?	lɛŋ	?	klɛŋ	klɛŋ	klɛŋ	lɛŋ	ʔatɛs	k=ʔatɛs	ʔatɛs	ʔatɛs	lɛŋ	klɛŋ	lɛŋ ʔatɛs	lɛŋ	?	klɛŋ	lɛŋ	klɛŋ	klɛŋ clah	klɛŋ	klɛŋ	klɛŋ	klɛŋ	da=	ʔatɛs	lɛŋ	lɛŋ
10	lɛŋ	lɛŋ	lɛŋ	lɛŋ	lɛŋ	lɔʔ	lɛŋ	klɛŋ	lɛŋ	klɛŋ	?	lɛŋ	lɛŋ	lɛŋ	klɛŋ	?	?	lɛŋ	lɛŋ	klɛŋ	samaʔ pdeʔ	lɛŋ	klɛŋ	klɛŋ	lɛŋ	lɛŋ	klɛŋ	lɛŋ	klɛŋ	lɛŋ	klɛŋ	klɛŋ	?	lɛŋ	k=	lɛŋ	lɛŋ	lɛŋ
11	lɛŋ	lɛŋ	lɛŋ	lɛŋ	lɛŋ	lɛŋ	klɛŋ	klɛŋ	klɛŋ	klɛŋ	?	lɛŋ	lɛŋ	klɛŋ	ʔatɛs	tŋah tŋah	lɛŋ	lɛŋ	lɛŋ	lɛŋ	?	lɛŋ	klɛŋ	klɛŋ	klɛŋ	klɛŋ	klɛŋ	lɛŋ	lɛŋ	lɛŋ	lɛŋ	klɛŋ	daləm	daləm	daləm	ʔatɛs	lɛŋ	daləm
12	lɛŋ	klɛŋ	lɛŋ	klɛŋ	lɛŋ	lɛŋ	klɛŋ	klɛŋ	klɛŋ	klɛŋ	klɛŋ	lɛŋ	?	klɛŋ	lɛŋ	klɛŋ	lɛŋ	klɛŋ	klɛŋ	lɛŋ	lɛŋ	lɛŋ	?	klɛŋ	lɛŋ	klɛŋ	klɛŋ	lɛŋ	ʔatɛs	klɛŋ	ba=	?	klɛŋ	lɛŋ	daləm	ba=	lɛŋ	lɛŋ
