	Jedek1	Jedek4	Jedek2	Jedek18	Jedek13	Jedek38	Jedek7	Jedek8	Jedek12	Jedek11	Jedek5	Jedek37	Jedek15	Jedek29	Jedek32	Jedek25	Jedek26	Jedek33	Jedek16	Jedek22	Jedek23	Jedek34	Jedek28	Jedek21	Jedek9	Jedek36	Jedek20	Jedek14	Jedek35	Jedek17	Jedek19	Jedek24	Jahai11	Jahai9	Jahai13	Jahai7	Jahai14	Jahai4	Jahai15	Jahai2	Jahai12	Jahai1	Jahai8	Jahai10	Jahai18	Jahai17
1	?	cilcɔl	?	cilcɔl	cilcɔl	kicɛʔ	cilcɔl	cilcɔl	cilcɔl	?	cilcɔl	cilcɔl	cilcɔl	cilcɔl	cilcɔl	cilcɔl	?	cɔl	cilcɔl	cilcɔl	cilcɔl	cilcɔl	cilcɔl	cilcɔl	cilcɔl	cilcɔl	cilcɔl	cilcɔl	cilcɔl	cilcɔl	cilcɔl	cilcɔl	cilcɔl	cilcɔl	cilcɔl	cilcɔl	cilcɔl	?	kicɛʔ	cilcɔl	cilcɔl	?	cilcɔl	cilcɔl	cilcɔl	cɔl
2	kmʔəm	kimʔəm	knʔəm	kimʔəm	kimʔəm	?	kimʔəm	kmʔəm	kimʔəm	kmʔəm	knʔəm	kmʔəm	kinʔəm	kimʔəm	kmʔəm	kimʔəm	kimʔəm	kmʔəm	kmʔəm	kimʔəm	kmʔəm	?	kmʔəm	kmʔəm	knʔəm	kimʔəm	kmʔəm	knʔəm	kmʔəm	kmʔəm	kimʔəm	kmʔəm	kimʔəm	kmʔəm	ʔiɲʔɔ̃ɲ	?	kimʔəm	kmʔəm	kimʔəm	knʔəm	kmʔəm	knʔəm	kimʔəm	kmʔəm	kimʔəm	ʔiɲʔɔ̃ɲ
3	bihlɔh	pilpal	pal	pilpal	pilpal	guhcɔh	pilpal	pilpal	pilpal	limpah	pilpal	lihpah	pilpal	b-baloh	lmpah	lihpah	piŋgɛŋ	pilpal	pilpal	pilpal	lihpah	pilpal	pilpal	pilpal	plpal	lihpah	b-baloh	pilpal	pilpal	pilpal	pilpal	bihlɔh	?	pikpak	lihpah	?	lihpah	bihlɔh	lmpah	pilpal	tampəh	pilpal	limpah	lihpah	pilpal	guhcɔh
4	?	ʔikʔɛk	bagiʔ	bagiʔ	ʔikʔɛk	ʔikʔɛk	bagiʔ	?	biʔgiʔ	baɲci	ʔikʔɛk	ʔɛk	ʔikʔɛk	ʔikʔɛk	bagiʔ	ʔikʔɛk	ʔikʔɛk	ʔikʔɛk	?	ʔikʔɛk	ʔikʔɛk	?	?	ʔikʔɛk	ʔikʔɛk	ʔikʔɛk	biʔgiʔ	ʔikʔɛk	biʔgiʔ	ʔikʔɛk	ʔikʔɛk	ʔikʔɛk	ʔikʔɛk	ʔɛk	ʔikʔɛk	?	ʔikʔɛk	ʔɛk	?	bagiʔ	ʔikʔɛk	biʔgiʔ	ʔikʔɛk	ʔikʔɛk	ʔikʔɛk	ʔɛk
5	pal	pilpal	pilpal	pilpal	pilpal	prikluk	lmpah	lihpah	lmpah	lmpah	bihlɔh	guhcɔh	?	b-baloh	lihpah	lihpah	lihpah	pilpal	pilpal	pilpal	lihpah	pilpal	baloh	pilpal	lmpah	lmpah	lmpah	pilpal	lmpah	lmpah	pilpal	lihpah	lihpah	pilpal	prikluk	guhcɔh	lihpah	lmpah	guhcɔh	pilpal	lihpah	pilpal	pilpal	pak	pilpal	pilpal
6	diʔ	miymay	may	may	may	may	may	miymay	miymay	miymay	may	may	may	miymay	may	may	miymay	may	may	miymay	may	may	may	miymay	diʔ	may	miymay	lawat	miymay	may	may	may	miymɛy	mɛy	mɛy	may	miymay	lawat	mɛy	may	mɛy	may	miymay	mɛy	miymay	mɛy
7	knʔəm	kimʔəm	knʔəm	kimʔəm	kimʔəm	kmʔəm	knʔəm	kimʔəm	kimʔəm	kimʔəm	knʔəm	kmʔəm	kinʔəm	kimʔəm	kimʔəm	kimʔəm	kimʔəm	kmʔəm	kmʔəm	kimʔəm	kimʔəm	kimʔəm	kimʔəm	kmʔəm	knʔəm	kimʔəm	kimʔəm	kmʔəm	kimʔəm	kmʔəm	kimʔəm	kimʔəm	kimʔəm	kimʔəm	kmʔəm	kimʔəm	kimʔəm	kimʔəm	kimʔəm	kmʔəm	ʔmʔəm	knʔəm	kmʔəm	kmʔəm	kimʔəm	kimʔəm
8	ŋɔk	ŋikŋɔk	ŋɔk	ŋɔk	ŋikŋɔk	ŋɔk	ŋikŋɔk	?	ŋɔk	ŋɔk	ŋɔk	ŋɔk	ŋɔk	ŋikŋɔk	ŋɔk	ŋɔk	ŋikŋɔk	ŋɔk	ŋikŋɔk	ŋikŋɔk	?	ŋɔk	ŋikŋɔk	ŋɔk	ŋikŋɔk	ŋɔk	ŋɔk	ŋɔk	ŋikŋɔk	ŋikŋɔk	ŋɔk	ŋɔk	ŋɔk	ŋɔk	ŋɔk	?	ŋɔk	ŋɔk	ŋɔk	ŋɔk	ŋɔk	ŋɔk	ŋikŋɔk	ŋɔk	ŋikŋɔk	ŋɔk
9	cɔl	taɲaʔ	cilcɔl	tiʔɲaʔ	taɲaʔ	?	?	miʔmɛʔ	cilcɔl	?	miʔmɛʔ	daɲin	jumpaʔ	cilcɔl	miʔmɛʔ	miʔmɛʔ	?	cɔl	jumpaʔ	cilcɔl	cilcɔl	cilcɔl	cilcɔl	cilcɔl	cilcɔl	?	cilcɔl	cilcɔl	?	cilcɔl	cilcɔl	cilcɔl	cilcɔl	cilcɔl	cilcɔl	?	ʔilʔɛl	cilcɔl	cilcɔl	cilcɔl	cilcɔl	cilcɔl	?	cilcɔl	cilcɔl	?
10	brilɛʔ	may	miymay	may	miymay	ʔɛl	may	may	miymay	miymay	miymay	miymay	miymay	kihwɔh	miymay	miymay	miymay	miymay	miymay	miymay	miymay	miymay	may	miymay	may	miymay	miymay	may	miymay	may	may	miymay	miymɛy	mɛy	mɛy	mɛy	mɛy	lawat	may	may	?	miymay	?	mɛy	miymɛy	mɛy
